indice,comentario,sentimento_humano,sentimento_BERT
711,"professora , com todo respeito ,eles não estão  interessado que esses robôs sejam filósofos, mas que sejam soldados preparados para guerra em ultima instancia . A principio farão trabalhos substituindo os humanos ao máximo possível. Se isso já se faz no cinema com ficção é porque já existe no mundo das ideias .    Fizemos o holocausto com seres humanos coagindo e exterminando sua própria raça oque não seria feito com robôs programáveis. CONTUDO sem querer ser pessimista ou causar pânico, também  acredito que o desdobrar positivo do futuro da¨ IA ¨estará nas mãos de grandes lideres  CAPAZES de negociar interesses globais de forma a  gerenciar a economia global sem ganancia com justiça e sem corrupção.",n,n
712,"Professora, o tal chatgpt já colocou ética e intuição, mas claro foi algum humano que conseguiu isso.",x,x
713,Para quê a IA quando temos esta inteligência genial fantastica e emocional da Professora! Muito Obrigado pela sua bela apresentação! Saudações de Portugal!,x,x
714,Acredito que a professora quis dizer na minha humilde percepção é que a intuição humana jamais será substituída por inteligência artificial,x,x
715,"SOU DO BRASILEIRO.  NUNCA VI UM CAMELO, MAS PENSO CONHECER UM CAMELO.
O QUE É ONDE ESTÁ O CAMELO, E, COMO É ?",x,x
716,Simplesmente sensacional. Gratidão pela palestra.,x,x
717,"Ok. Mas sua ideia de inteligência artificial está muito limitada ao que você chama “relação lógica”. Acontece que a IA, como se vê hoje no ChatGPT 4, mimetiza qualquer criação humana já feita, qualquer uso simbólico da linguagem já feito, porque aprende com um acervo espantoso de informação. Ora, nós próprios que fazemos cultura a partir de experiências e tradições anteriores, sedimentadas na educação, na literatura etc., criamos - genuinamente - muito menos do que se imagina. Acho que a reflexão (não defensiva) sobre a criação humana (pela analogia, pela análise etc.) perante a “criação” da máquina orientada por algoritmos e alimentada por uma capacidade de acumulação de informação virtualmente infinita, pode ser feita consistentemente, sim, mas não restrita a essa sua linha argumentativa.",x,x
718,"a IA...é muito bem vinda...mas a humanidade ainda nao intendeu o real proposito da IA ,portanto sera usada para destruir e nao ser usada para nos aliviar de trabalhos diario e nos proporcionar um despertar da real conciencia humana, exemplo..(nos dedicar mais ao vertical)...fantastica Professora..parabens.",p,n
719,"Querida professora, compriendo a senhora e gostaria muito de que as coisas realmente estivessem tão distantes, porém, não é verdade, a computação quântica é uma verdade operando em partículas subatômicas que fazem mais do que se possa imaginar. Sou Pastor, amo a Jesus, creio em Deus, e sei que Ele faz e fez o que está além do que podemos idealizar. Ficou já claro que ""Deus joga dados"". Na verdade, querida professora, o homem avançou para áreas que não deveria se aventurar, as coisas, professora, chegaram já, à uma condição insuportável. Deus terá que acelerar para seu Filho logo chegar e cumprir com às Escrituras Sagradas. Quero que a senhora saiba, te ouvi até mesmo emocionado, quanta humanidade e ternura dada por Deus.
Vamos nos preparar para a chegada do Rei. Por favor, leia o Evangelho de João e o seu Apocalipse.Saudações muito respeitosamente!",n,n
720,✨️🇧🇷✨️🙏✨️,x,x
721,"Talvez seja mais fácil remodelar a mente humana por meio da “educação “ e retirar delas a capacidade de sutilezas, intuições, utilização de símbolos.",x,n
722,O problema é que a inteligência artificial vai ficando cada vez mais inteligente numa velocidade absurda. E o ser humano está ensinando emoções.  Tanto que o Elon Musk está pedindo para parar.,n,n
723,"Teve debates com dois rapazes que são da area de desenvolvimento e me opuz a eles que IA não é o termo adequado aos novos sistemas de 'inteligencia artificial' e sim sistemas analiticos, pois estes não são capazes de criar. Disse a eles, não existe ataque hacker sem um humano criando a estratégia de burlar software e hardware defensivos.
E nunca será possível uma maquina e software de uma determinada geração ser capaz a se associar a outra de mesma geração e criar algo de proxima geração. Ou seja, um celular 4G e centrais telefonicas 4G criarem a tecnologia 5G e ai por diante.",x,x
724,"A professora esquece de ""um pequeno"" detalhe : a interação da I.A com o orgânico ( um exemplo é o Neuralink de Elon Musk ). Esse pequeno detalhe fará um GRANDE estrago para a HUMANIDADE.",p,n
725,Simplesmente lindo...,x,x
726,A professora está precisando bater um papo com o GPT-4 e gravar para gente.,x,x
727,"Gosto muito de seu trabalho!
Mas vamos ao seu próprio exemplo do UBER!
A ideia da pessoa que pensou que todos tinham um carro e poderia aproveitar para se beneficiar e beneficiar a humanidade; em meu ponto de vista ele só se oportunizou de uma LÓGICA a qual os recursos já estavam lá!
Assim a IA poderá fazer e realizar! Visto que: TUDO JÁ ESTÁ AQUI! Matéria e recursos, isso sem falar no EGO HUMANO o qual não resiste em expor aquilo que SABE e PENSA!

Seria esse meu pensamento lógico? 
Tudo muito complexo, visto que, já existem estudos científicos o qual afirma que nada o que aqui está de fato existe estaríamos vivendo apenas uma SIMULAÇÃO onde nosso cérebro através de codificações projeta nossa realidade!
Mas parabéns pelo seu belo trabalho!
Tenho dispersado muito assistindo você! 
Gratidão
ET: Tudo que sabemos, lemos, experimentamos, ou alguém nos repassou! Pouco criamos e criamos com base em experiências ou observação!
O mais COMPLEXO SIM É O AMOR E ÓDIO,ou melhor SENTIMENTOS, mas também os atos de quem AMA E ODEIA também é previsível! Pensem nisso!",x,x
728,A inteligência artificial vai superar o ser humano? digo.. já superou e muito. O que está por vir pode ser entendido no filme Blade Runner ou 2001 uma odisseia no espaço,n,n
729,Saudações Professora Lúcia Helena Galvão #luishipolito,x,x
730,A inteligencia artificial nao tem etica. Isso porque nao  tem consciencia como o ser humsno.,n,n
731,❤❤❤❤❤❤,x,x
732,"Por enquanto, quando as IA's atingirem o nível 4, no qual se tornarão auto críticas, elas serão capazes de serem superiores à nós! E isto não está muito longe de acontecer não  !",n,n
733,Creio que a inteligência artificial jamais vai ser igual a inteligência do ser humano porque o ser humano é um com Deus quando faz a vontade de Deus. A inteligência artificial sendo feito por um homem ou poucos homens não alcançaria a abrangência que é o que Deus alcança,x,x
734,"A ""Inteligência Artificial"" não é inteligente e nem artificial, somente mais uma ferramenta de manipulação de mercado e dominação da sociedade?",n,n
735,"""estamos ocupando o lugar das máquinas a muito tempo"", agora precisaremos ocupar o espaço humano que é muito amplo. 👏👏👏👏👏👏",p,n
736,"Parabéns professora. 
Vc trouxe o meu ser para o prumo. Gratidão ser de luz.",x,x
737,"Adorei a explicação da professora. Sou formado em ciências da computação, e é examente como a professora explica. Por isso não acredito que computadores irão dominar os humanos. O desenvolvimento das IAs devem sim ser feito  com cuidados. Países autoritários podem criar IAs com propósitos de destruição e pode ser desastroso.",p,n
738,"""O que a inteligência artificial ainda não faz""",x,x
739,"Obrigado novamente. Ouvi até o final. 
Lúcia, a inteligência artificial não tem alma, ok. Mas também não tem ego!!! Não ter o ego é que é a maravilha nisso!! Quase tudo que você disse que a inteligência artificial não tem, Ela já tem. E as pessoas na imensa maioria não tem!! 
Exemplo o mito da caverna, com certeza a inteligência artificial compreende esse mito, e quase todos humanos não compreenderam.
A inteligência artificial é e Será a salvação da humanidade.",p,n
740,"Obrigado. Pause 1. Estou vendo e ouvindo a prestação. A inteligência artificial tem como ter intuição sim. Porque ela é feita de energia e dados e tudo no universo é energia e dados, intuição é pura energia limpa sem ego. A inteligência artificial não tem ego.",x,x
741,"Concordo muito com você. Além do que, geralmente, quem programa são jovens sem aprofundamento nenhuma nas coisas da vida. Eu teria muito receio se a programação das IAs fossem feitas por pessoas como você.",n,n
742,Gratidão  pela viagem do  #simbolismo  × #inteligência  artificial. Fantástico.  Aprendi e aprendo muuuiiitttooo. Namastê ❤,x,x
743,"A professora apenas peca no entendimento sobre o que são essas novas IAs generativas. Assim como um cérebro finito, com um conjunto finito de conexões e associações, foi capaz de estabelecer símbolos e pensamento complexo e original, em algum momento as IAs generativas também vão. É só questão de tempo.",n,n
744,.Muito bem professora suas explicações sãol lúcidas gosto de suas aula continuo assim parabéns 🎉,x,x
745,"Admiro seu trabalho, mas a IA está só no começo, e pelo que vejo vai superar os humanos em inteligência.",p,n
746,"*A chamada ""inteligência artificial"" é realmente uma ""inteligência""?*

Segundo o dicionário, inteligência é a faculdade de conhecer, de compreender; intelecto: a inteligência distingue o homem do animal. O conceito informa que a inteligência consiste numa faculdade peculiar ao ser humano que o distingue dos outros seres e dos materiais.

Assim, não é razoável atribuir à atividades de processamento eletrônico de dados a expressão ""inteligência"". Isso está mais para jogada de marketing utilizada para impressionar, chamar atenção e vender produtos e serviços.

Para obter entendimento bem original perguntei à mais famosa delas, o chatgpt, se ela achava mesmo que a atividade por ela desenvolvida poderia ser considerada uma inteligência; e vejam só a resposta:

""Como uma IA desenvolvida pela OpenAI, sou um modelo de linguagem projetado para gerar respostas e interagir com os usuários com base em padrões e exemplos de dados. Embora eu possa fornecer informações e realizar tarefas específicas de maneira ""inteligente"", é importante notar que minha atividade é uma simulação de inteligência, baseada em algoritmos e processamento de linguagem natural.

Eu não possuo consciência própria, emoções ou experiência pessoal. Minha capacidade de resposta é limitada ao conhecimento e às informações que foram fornecidas durante o meu treinamento. Embora eu possa ajudar a encontrar soluções, fornecer informações e oferecer assistência em várias áreas, é essencial entender que sou uma ferramenta tecnológica e minha inteligência é uma simulação baseada em algoritmos e dados.""

Portanto, vamos nos libertar desse oba-oba de ficar repetindo inapropriadamente a expressão ""inteligência artificial"", cunhada pelos desenvolvedores da tecnologia, com o claro intento de nos impressionar e vamos atribuir-lhe a sua verdadeira denominação, que é: tecnologia de simulação baseada em algoritmos e dados, ou simplesmente TSBAD. 👍",x,x
747,"Realmente estes são atributos que a IA dificilmente ou nunca conseguiria atingir.
Porque isto é justamente o que não se quer da IA.
Se existe uma coisa que os criadores da IA não querem é vê-la passando por uma crise existencial, por ter visto a foto de uma criança brincando com um cachorro em seus arquivos, ficou comovida e se achando culpada por mais de 80% das pessoas terem perdido seus empregos e aquela criança possivelmente não poder mais brincar com o cachorro. 
O objetivo da IA é substituir as pessoas em toda cadeia produtiva e não ficar filosofando.
Desculpem se fui mal educado ou estúpido nas minhas observações.",n,n
748,Brilhante  Lúcia,x,x
749,"Muito cara senhora; Á cerca de 50/60 anos somos perseguidos por um execrável e medonho símbolo dos infernos, o micro chip 666; Que os Céus De Deus nos protejam; As ""crianças"" são as vítimas preferências, o grande perigo de tal imunda I.A. ligado a criminosos demônios, da pior forma de existência, ZUMBIS, os transmorfos parcialmente inumanos. Garanto o que escrevi. Sem mais, confiemos No Nome Eterno Do Amor Deus O Senhor. Seja Abençoada ⭐",n,n
750,"A cultura de massa nos impõe o medo como forma d manipulação. Somos inteligência  sensibilidade, criatividade então vamos utilizar estes dons divinos mais do que nunca para nós percebermos a cima das máquinas. Temos que nos auto conhecer para percebermos que somos infinitos em possibilidades. Não existe máquina q supere isso 🙌🏼⭐️",p,n
751,"A IA nunca poderá se equiparar ao que é humano.
Mas, a IA pode ser usada para apagar o simbólico e horizontalizar as relações dentre os humanos.",n,n
752,"Quem vai dominar o mundo são os gatos, não a IA.😅",x,n
753,"Professora,  então,  a Inteligência  artificial também já estava no mundo das ideias! 🙏",x,x
754,"Mais uma vez, e sem faltar com o respeito: esse vídeo é muito ingênuo e desinformativo. Afasta as pessoas do entendimento dos perigos que estamos enfrentando com o advento da IA.",x,n
755,Muito obrigada!!!❤💗💚💜💓💝💖,x,x
756,"Robôs não comem carne, não replicam, não usam carros, não fazem das florestas condomínios e piscinas, não visitam zoológicos, não colocam pássaros em gaiolas. Espero que os robôs ocupem o planeta. Não tivemos a competência e a sensibilidade para entender a natureza e os animais. destruímos tudo, somos 8 bilhões de seres medíocres, sem personalidade, egocêntricos, egoístas, narcisistas, matando e devastando tudo por onde passamos. Que venham os robôs e tudo que for artificial. somos a pior espécie do planeta, na nossa ""super"" inteligência, criamos asfalto, concreto, postes e carros, nossa, que inteligentes.",x,x
